Lex	Type	Regex	Direction	Unnamed: 4	Unnamed: 5	Unnamed: 6	Codes
zijn uitgesloten	DEFINITE_NEGATED_EXISTENCE		backward				
worden uitgesloten	INDICATION		backward				
wordt uitgesloten	INDICATION		backward				
kan worden uitgesloten	DEFINITE_NEGATED_EXISTENCE		backward				
kan niet worden uitgesloten	AMBIVALENT_EXISTENCE		backward				
kan niet volledig worden uitgesloten	PROBABLE_NEGATED_EXISTENCE		backward				
kan worden uitgesloten	DEFINITE_NEGATED_EXISTENCE		backward				
examen	INDICATION	\b(examination|exam|study)\b	backward				
gratis	DEFINITE_NEGATED_EXISTENCE		backward				
is uitgesloten	DEFINITE_NEGATED_EXISTENCE		backward				
zijn uitgesloten	DEFINITE_NEGATED_EXISTENCE		backward				
zit in het differentieel	AMBIVALENT_EXISTENCE	is\sin\sthe\sdifferential	backward				
is negatief	DEFINITE_NEGATED_EXISTENCE	(is|was) negative	backward				
is niet uitgesloten	AMBIVALENT_EXISTENCE	(is|was|are|were)\snot\sexcluded	backward				
is niet helemaal uitgesloten	PROBABLE_NEGATED_EXISTENCE	(is|was|are|were|does)\snot\s(entirely|totally|definitely|completely\s) excluded	backward	2/28/2013	added definitely	removed ed	
is aanwezig	DEFINITE_EXISTENCE	(is|are) present	backward	4/29/2013			
is uitgesloten	DEFINITE_NEGATED_EXISTENCE		backward				
moet worden uitgesloten	INDICATION		backward				
is uitgesloten	DEFINITE_NEGATED_EXISTENCE		backward				
kan worden uitgesloten	PROBABLE_NEGATED_EXISTENCE		backward				
moet worden uitgesloten	DEFINITE_NEGATED_EXISTENCE		backward				
niet uitgesloten	INDICATION		backward				
niet definitief gezien	PROBABLE_NEGATED_EXISTENCE	not definitively (seen|visualized)	backward	3/22/2013			
niet uitgesloten	AMBIVALENT_EXISTENCE	not\s(excluded|ruled\sout)	backward				
nu meten	HISTORICAL		backward				
zou moeten worden uitgesloten	INDICATION		backward				
vorderde	HISTORICAL		backward	3/22/2013			
protocol	INDICATION		backward				
opgelost	HISTORICAL		backward				
moet worden uitgesloten	INDICATION		backward				
vermoedelijke	PROBABLE_EXISTENCE		backward	4/29/2013			
onwaarschijnlijk	DEFINITE_NEGATED_EXISTENCE		bidirectional				
variërende leeftijden	HISTORICAL		backward				
was uitgesloten	DEFINITE_NEGATED_EXISTENCE		backward				
zal worden uitgesloten	INDICATION		backward				
zou niet worden verwacht	PROBABLE_NEGATED_EXISTENCE		backward	2/28/2013			
acuut	ACUTE		bidirectional				
nog een keer	HISTORICAL		bidirectional				
leeftijd onbepaald	HISTORICAL		bidirectional				
verschijnen	PROBABLE_EXISTENCE	(\bappear\b|\bappears\b)	bidirectional				
kan niet volledig worden uitgesloten	PROBABLE_NEGATED_EXISTENCE	cannot\sbe\s((entirely|completely|totally)\s)?(excluded|ruled out)	bidirectional	2/28/2013			
kan niet worden geëvalueerd	AMBIVALENT_EXISTENCE		bidirectional	2/28/2013			
chronisch	HISTORICAL	\bchronic[a-z]*\b	bidirectional	2/28/2013	chronicity: make regular expression to capture variations		
duidelijk	PROBABLE_NEGATED_EXISTENCE		bidirectional				
verminderde	HISTORICAL		bidirectional				
dubbelzinnig	PROBABLE_EXISTENCE		bidirectional				
evaluatie	INDICATION		bidirectional				
evoluerende	HISTORICAL		bidirectional				
genezing	HISTORICAL	\b(healing|healed)\b	bidirectional				
